Time(1ps)  in_valid   in_ready   out_valid  out_ready  grant      ptr        scan_start
========== ========== ========== ========== ========== ========== ========== ==========
140000     000        000        0          1          000        00         00        
190000     111        001        0          1          000        00         00        
195000     111        010        1          1          001        00         01        
205000     111        100        1          1          010        01         10        
215000     111        001        1          1          100        10         00        
225000     111        010        1          1          001        00         01        
235000     111        100        1          1          010        01         10        
245000     111        001        1          1          100        10         00        
255000     111        010        1          1          001        00         01        
260000     000        000        0          1          000        00         00        
